C:\Users\이우진\.jdks\corretto-11.0.19\bin\jcmd.exe 15108 GC.class_histogram
15108:
 num     #instances         #bytes  class name (module)
  91:           260           6240  com.jetbrains.toolbox.feed.IntelliJConfiguration
  92:            76           6232  [Ljava.util.WeakHashMap$Entry; (java.base@17.0.6)
  93:           257           6168  java.time.LocalDateTime (java.base@17.0.6)
  94:           192           6144  java.lang.Package (java.base@17.0.6)
  95:           250           6000  java.lang.module.ModuleDescriptor$Exports (java.base@17.0.6)
  96:           243           5832  java.time.LocalDate (java.base@17.0.6)
  97:           364           5824  java.util.LinkedHashMap$LinkedKeySet (java.base@17.0.6)
  98:           121           5808  com.sun.jna.internal.Cleaner$CleanerRef
  99:           120           5760  sun.security.rsa.RSAPublicKeyImpl (java.base@17.0.6)
 100:           342           5472  kotlinx.serialization.json.JsonObject
 101:           227           5448  java.security.Provider$UString (java.base@17.0.6)
 102:           135           5400  java.util.WeakHashMap$Entry (java.base@17.0.6)
 103:            84           5376  java.net.URL (java.base@17.0.6)
 104:           164           5248  java.util.Hashtable$Entry (java.base@17.0.6)
 105:           108           5184  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.6)
 106:           127           5080  java.security.cert.TrustAnchor (java.base@17.0.6)
 107:           100           4800  java.lang.management.MemoryUsage (java.management@17.0.6)
 108:           149           4768  kotlinx.coroutines.ChildContinuation
 109:           294           4704  com.jetbrains.toolbox.feed.DirectoryPath
 110:            83           4648  com.jetbrains.toolbox.datamodel.project.LocalProject
 111:           140           4480  com.jetbrains.toolbox.feed.DefaultConfigDirectories
 112:            70           4480  kotlinx.serialization.internal.PluginGeneratedSerialDescriptor
 113:           186           4464  com.jetbrains.toolbox.feed.ApplicationQuality
 114:            42           4368  java.util.jar.JarFile$JarFileEntry (java.base@17.0.6)
 115:           179           4296  com.jetbrains.toolbox.feed.ApplicationMajorVersion
 116:           134           4288  com.jetbrains.toolbox.feed.UninstallFeedback
 117:            67           4288  sun.security.ssl.SSLExtension (java.base@17.0.6)
 118:           178           4272  com.jetbrains.toolbox.feed.ProductOverview
 119:           131           4192  sun.security.x509.BasicConstraintsExtension (java.base@17.0.6)
 120:           257           4112  java.lang.Short (java.base@17.0.6)
 121:           256           4096  java.lang.Byte (java.base@17.0.6)
 122:           128           4096  sun.security.x509.SubjectKeyIdentifierExtension (java.base@17.0.6)
 123:           102           4080  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@17.0.6)
 124:           164           3936  com.jetbrains.toolbox.feed.Progress
 125:           164           3936  java.lang.Double (java.base@17.0.6)
 126:            49           3920  java.net.URI (java.base@17.0.6)
 127:            96           3840  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@17.0.6)
 128:            93           3720  java.lang.invoke.DirectMethodHandle$Accessor (java.base@17.0.6)
 129:           115           3680  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.6)
 130:           115           3680  java.lang.ref.ReferenceQueue (java.base@17.0.6)
 131:            76           3648  java.util.WeakHashMap (java.base@17.0.6)
 132:           114           3648  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.6)
 133:            65           3640  kotlinx.coroutines.flow.StateFlowImpl$collect$1
 134:           113           3616  sun.security.x509.KeyUsageExtension (java.base@17.0.6)
 135:            41           3608  java.util.regex.Pattern (java.base@17.0.6)
 136:            90           3600  java.lang.invoke.DirectMethodHandle$Constructor (java.base@17.0.6)
 137:           104           3512  [[C (java.base@17.0.6)
 138:           107           3424  kotlinx.coroutines.internal.ScopeCoroutine
 139:            70           3360  java.util.logging.LogManager$LoggerWeakRef (java.logging@17.0.6)
 140:           139           3336  com.jetbrains.toolbox.feed.Activation
 141:           139           3336  com.jetbrains.toolbox.feed.WhatsNew
 142:           139           3336  kotlinx.coroutines.StandaloneCoroutine
 143:           103           3296  com.sun.jna.Structure$AutoAllocated
 144:           137           3288  sun.security.util.BitArray (java.base@17.0.6)
 145:           137           3288  sun.security.util.Cache$EqualByteArray (java.base@17.0.6)
 146:           137           3288  sun.security.x509.CertificateValidity (java.base@17.0.6)
 147:           134           3216  sun.security.x509.CertificateExtensions (java.base@17.0.6)
 148:           199           3184  kotlinx.datetime.LocalDateTime
 149:           132           3168  java.util.ImmutableCollections$List12 (java.base@17.0.6)
 150:           130           3120  com.jetbrains.toolbox.feed.WhatsNewLink
 151:            39           3120  java.util.zip.ZipFile$Source (java.base@17.0.6)
 152:            88           3064  [Ljava.util.List; (java.base@17.0.6)
 153:            75           3000  java.io.ObjectStreamField (java.base@17.0.6)
 154:            46           2944  java.util.zip.Inflater (java.base@17.0.6)
 155:           116           2912  [Lcom.intellij.internal.statistic.eventLog.validator.rules.FUSRule;
 156:            89           2848  java.util.logging.LogManager$LogNode (java.logging@17.0.6)
 157:           177           2832  java.util.HashMap$EntrySet (java.base@17.0.6)
 158:           173           2768  sun.security.x509.KeyIdentifier (java.base@17.0.6)
 159:            57           2736  kotlinx.coroutines.flow.FlowKt__ChannelsKt$emitAllImpl$1
 160:            57           2736  kotlinx.coroutines.flow.internal.ChannelFlow$collect$2
 161:           112           2688  java.util.AbstractMap$SimpleImmutableEntry (java.base@17.0.6)
 162:           108           2592  kotlinx.coroutines.NodeList
 163:            46           2576  java.lang.Module (java.base@17.0.6)
 164:           107           2568  java.util.ImmutableCollections$Set12 (java.base@17.0.6)
 165:           107           2568  org.bouncycastle.asn1.ASN1ObjectIdentifier$OidHandle
 166:           106           2544  com.sun.jna.Memory$MemoryDisposer
 167:             6           2496  kotlinx.coroutines.scheduling.CoroutineScheduler$Worker
 168:            39           2496  sun.nio.fs.WindowsFileAttributes (java.base@17.0.6)
 169:           155           2480  java.util.HashSet (java.base@17.0.6)
 170:            44           2464  java.io.FileCleanable (java.base@17.0.6)
 171:           102           2448  java.time.Instant (java.base@17.0.6)
 172:           153           2448  sun.security.x509.SerialNumber (java.base@17.0.6)
 173:           101           2424  java.util.regex.Pattern$BmpCharProperty (java.base@17.0.6)
 174:            25           2400  com.jetbrains.toolbox.datamodel.ApplicationManagerModelRemoteFeedItem
 175:           150           2400  com.jetbrains.toolbox.feed.AdditionalInstallAction
 176:            59           2360  kotlinx.coroutines.channels.AbstractChannel$receiveCatching$1
 177:            48           2304  kotlinx.coroutines.flow.FlowKt__MergeKt$mapLatest$1
 178:            48           2304  kotlinx.coroutines.flow.internal.ChannelFlowTransformLatest$flowCollect$3
 179:            41           2296  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL (java.base@17.0.6)
 180:           143           2288  javax.security.auth.x500.X500Principal (java.base@17.0.6)
 181:            56           2240  java.io.FileDescriptor (java.base@17.0.6)
 182:            69           2208  java.io.File (java.base@17.0.6)
 183:            55           2200  java.security.ProtectionDomain (java.base@17.0.6)
 184:           137           2192  kotlinx.coroutines.internal.Removed
 185:           137           2192  sun.security.x509.CertificateAlgorithmId (java.base@17.0.6)
 186:           137           2192  sun.security.x509.CertificateSerialNumber (java.base@17.0.6)
 187:           137           2192  sun.security.x509.CertificateVersion (java.base@17.0.6)
 188:           137           2192  sun.security.x509.CertificateX509Key (java.base@17.0.6)
 189:            39           2184  java.util.jar.JarFile (java.base@17.0.6)
 190:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@17.0.6)
 191:           134           2144  com.jetbrains.toolbox.feed.UninstallOptions
 192:            67           2144  kotlinx.coroutines.channels.ProducerCoroutine
 193:            89           2136  java.util.regex.Pattern$GroupHead (java.base@17.0.6)
 194:            89           2136  java.util.regex.Pattern$GroupTail (java.base@17.0.6)
 195:            89           2136  java.util.regex.Pattern$Slice (java.base@17.0.6)
 196:            53           2120  sun.security.util.NamedCurve (java.base@17.0.6)
 197:            86           2064  java.util.LinkedList$Node (java.base@17.0.6)
 198:            94           2056  [Ljava.util.Map$Entry; (java.base@17.0.6)
 199:           128           2048  java.lang.Character (java.base@17.0.6)
 200:            51           2040  java.security.CodeSource (java.base@17.0.6)
 201:            50           2000  kotlinx.coroutines.flow.internal.ChannelFlow$collectToFun$1
 202:            41           1968  com.jetbrains.toolbox.datamodel.OpenItem
 203:            82           1968  kotlin.SynchronizedLazyImpl
 204:            48           1920  java.lang.Package$VersionInfo (java.base@17.0.6)
 205:            48           1920  java.security.AccessControlContext (java.base@17.0.6)
 206:            40           1920  java.util.concurrent.ConcurrentHashMap$TreeNode (java.base@17.0.6)
 207:            24           1920  jdk.internal.reflect.DelegatingClassLoader (java.base@17.0.6)
 208:           119           1904  okhttp3.CipherSuite
 209:            34           1904  sun.security.ssl.NamedGroup (java.base@17.0.6)
 210:            59           1888  kotlinx.coroutines.channels.AbstractChannel$ReceiveElement
 211:            13           1872  [Ljava.lang.invoke.MemberName; (java.base@17.0.6)
 212:           117           1872  java.lang.ref.ReferenceQueue$Lock (java.base@17.0.6)
 213:            39           1872  jdk.internal.loader.URLClassPath$JarLoader (java.base@17.0.6)
 214:            76           1824  com.intellij.internal.statistic.eventLog.validator.rules.impl.EnumValidationRule
 215:           114           1824  java.util.concurrent.locks.ReentrantLock (java.base@17.0.6)
 216:            45           1800  kotlinx.coroutines.flow.StateFlowImpl
 217:            45           1800  sun.security.x509.AuthorityKeyIdentifierExtension (java.base@17.0.6)
 218:            28           1792  java.lang.Class$ReflectionData (java.base@17.0.6)
 219:            54           1728  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.6)
 220:            71           1704  java.security.spec.ECPoint (java.base@17.0.6)
 221:            53           1696  java.security.spec.EllipticCurve (java.base@17.0.6)
 222:            42           1680  java.lang.invoke.VarHandle$AccessDescriptor (java.base@17.0.6)
 223:             6           1680  java.util.concurrent.ConcurrentHashMap$CounterCell (java.base@17.0.6)
 224:            70           1680  kotlinx.coroutines.internal.LockFreeLinkedListHead
 225:            50           1600  java.security.AlgorithmParameters (java.base@17.0.6)
 226:            10           1584  [Ljava.util.Hashtable$Entry; (java.base@17.0.6)
 227:             4           1584  [[B (java.base@17.0.6)
 228:            33           1584  java.time.temporal.ValueRange (java.base@17.0.6)
 229:            48           1536  kotlinx.coroutines.flow.internal.ChannelFlowTransformLatest
 230:            48           1536  kotlinx.coroutines.flow.internal.ChannelFlowTransformLatest$flowCollect$3$1
 231:            10           1520  sun.security.ssl.SSLSessionImpl (java.base@17.0.6)
 232:            43           1512  [Ljava.util.regex.Pattern$Node; (java.base@17.0.6)
 233:            61           1464  java.util.ImmutableCollections$SetN (java.base@17.0.6)
 234:            61           1464  kotlinx.serialization.internal.PluginGeneratedSerialDescriptor$_hashCode$2
 235:            61           1464  kotlinx.serialization.internal.PluginGeneratedSerialDescriptor$childSerializers$2
 236:            61           1464  kotlinx.serialization.internal.PluginGeneratedSerialDescriptor$typeParameterDescriptors$2
 237:            26           1456  java.util.logging.Logger (java.logging@17.0.6)
 238:            16           1448  [Ljava.lang.Byte; (java.base@17.0.6)
 239:            60           1440  kotlinx.coroutines.channels.AbstractChannel$RemoveReceiveOnCancel
 240:            45           1440  sun.java2d.loops.SurfaceType (java.desktop@17.0.6)
 241:            59           1416  com.jetbrains.toolbox.datamodel.ApplicationIdAndChannel
 242:            41           1408  [Ljava.math.BigInteger; (java.base@17.0.6)
 243:            88           1408  java.util.Collections$UnmodifiableCollection (java.base@17.0.6)
 244:            22           1408  sun.security.ec.SunEC$ProviderServiceA (jdk.crypto.ec@17.0.6)
 245:            22           1408  sun.security.ssl.SignatureScheme (java.base@17.0.6)
 246:            58           1392  com.sun.jna.Pointer
 247:            58           1392  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@17.0.6)
 248:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@17.0.6)
 249:            43           1376  java.util.regex.Pattern$Branch (java.base@17.0.6)
 250:             1           1368  [Lsun.security.ssl.CipherSuite; (java.base@17.0.6)
 251:            42           1344  java.util.zip.ZipFile$CleanableResource (java.base@17.0.6)
 252:            83           1328  kotlinx.datetime.Instant
 253:            55           1320  kotlinx.coroutines.channels.RendezvousChannel
 254:            27           1296  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@17.0.6)
 255:            40           1280  java.io.RandomAccessFile (java.base@17.0.6)
 256:            16           1280  sun.nio.ch.NioSocketImpl (java.base@17.0.6)
 257:            20           1280  sun.security.ec.SunEC$ProviderService (jdk.crypto.ec@17.0.6)
 258:            77           1232  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.6)
 259:            51           1224  java.util.ImmutableCollections$ListN (java.base@17.0.6)
 260:            51           1224  java.util.concurrent.CopyOnWriteArrayList (java.base@17.0.6)
 261:            30           1200  java.time.temporal.ChronoField (java.base@17.0.6)
 262:            50           1200  java.util.ArrayDeque (java.base@17.0.6)
 263:            29           1160  okio.Segment
 264:             3           1152  java.awt.EventDispatchThread (java.desktop@17.0.6)
 265:            48           1152  java.util.Collections$SetFromMap (java.base@17.0.6)
 266:            48           1152  java.util.regex.Pattern$$Lambda$32/0x00000001000f51f8 (java.base@17.0.6)
 267:            48           1152  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@17.0.6)
 268:             2           1136  [Lsun.security.util.KnownOIDs; (java.base@17.0.6)
 269:             3           1128  kotlin.concurrent.ThreadsKt$thread$thread$1
 270:            35           1120  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@17.0.6)
 271:            28           1120  java.math.BigDecimal (java.base@17.0.6)
 272:            70           1120  sun.security.x509.GeneralName (java.base@17.0.6)
 273:            35           1120  sun.security.x509.URIName (java.base@17.0.6)
 274:            46           1104  java.lang.RuntimePermission (java.base@17.0.6)
 275:            69           1104  java.util.regex.Pattern$$Lambda$30/0x00000001000e56f0 (java.base@17.0.6)
 276:            46           1104  java.util.zip.Inflater$InflaterZStreamRef (java.base@17.0.6)
 277:            34           1088  java.util.Locale (java.base@17.0.6)
 278:            34           1088  sun.security.ssl.Alert (java.base@17.0.6)
 279:            45           1080  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.6)
 280:            27           1080  java.util.logging.Logger$ConfigurationData (java.logging@17.0.6)
 281:            15           1080  sun.security.ssl.SSLCipher (java.base@17.0.6)
 282:            44           1056  kotlinx.coroutines.SupervisorJobImpl
 283:            66           1056  kotlinx.coroutines.flow.StateFlowSlot
 284:            33           1056  sun.util.locale.BaseLocale (java.base@17.0.6)
 285:             1           1040  [Ljava.lang.Integer; (java.base@17.0.6)
 286:             1           1040  [Ljava.lang.Long; (java.base@17.0.6)
 287:             1           1040  [Ljava.lang.Short; (java.base@17.0.6)
 288:            26           1040  com.sun.jna.Function
 289:            26           1040  com.sun.jna.Library$Handler$FunctionInfo
 290:            13           1040  com.sun.jna.Structure$FFIType
 291:            16           1024  java.lang.module.ModuleDescriptor (java.base@17.0.6)
 292:            42           1008  org.bouncycastle.asn1.x509.AlgorithmIdentifier
 293:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@17.0.6)
 294:            62            992  kotlin.jvm.internal.Ref$ObjectRef
 295:            42            968  [Lsun.security.ssl.ProtocolVersion; (java.base@17.0.6)
 296:            30            960  java.security.Provider$EngineDescription (java.base@17.0.6)
 297:            24            960  kotlin.jvm.internal.MutablePropertyReference1Impl
 298:            17            952  java.nio.HeapByteBuffer (java.base@17.0.6)
 299:            17            952  kotlinx.coroutines.flow.SharedFlowImpl$collect$1
 300:            28            944  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@17.0.6)
 301:            39            936  java.util.zip.ZipFile$Source$Key (java.base@17.0.6)
 302:            25            928  [Lkotlinx.serialization.KSerializer;
 303:            58            928  java.util.HashMap$KeySet (java.base@17.0.6)
 304:            23            920  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@17.0.6)
 305:            38            912  java.util.regex.Pattern$BmpCharPredicate$$Lambda$33/0x00000001000f54a0 (java.base@17.0.6)
 306:            14            896  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLL (java.base@17.0.6)
 307:            14            896  java.net.SocksSocketImpl (java.base@17.0.6)
 308:            28            896  jdk.internal.loader.NativeLibraries (java.base@17.0.6)
 309:             8            896  sun.security.provider.HashDrbg (java.base@17.0.6)
 310:            37            888  kotlinx.coroutines.flow.ReadonlyStateFlow
 311:            55            880  [Ljava.security.Principal; (java.base@17.0.6)
 312:            22            880  com.jetbrains.toolbox.datamodel.ApplicationManagerModelRemoteEntryModel
 313:            22            880  com.jetbrains.toolbox.datamodel.ToolOpenItem$FeedItem
 314:            55            880  java.security.ProtectionDomain$Key (java.base@17.0.6)
 315:            55            880  kotlinx.coroutines.flow.internal.SendingCollector
 316:             7            864  [D (java.base@17.0.6)
 317:            12            864  com.jetbrains.toolbox.datamodel.ChannelSettings
 318:            12            864  kotlinx.coroutines.flow.SharedFlowImpl
 319:            29            840  [Lkotlinx.coroutines.flow.StateFlowSlot;
 320:            21            840  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@17.0.6)
 321:            35            840  java.time.LocalTime (java.base@17.0.6)
 322:            21            840  sun.security.ssl.SSLHandshake (java.base@17.0.6)
 323:            26            832  java.lang.module.ModuleDescriptor$Requires (java.base@17.0.6)
 324:            34            816  java.util.regex.Pattern$Start (java.base@17.0.6)
 325:            25            800  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@17.0.6)
 326:            25            800  jdk.internal.reflect.UnsafeObjectFieldAccessorImpl (java.base@17.0.6)
 327:            33            792  kotlinx.serialization.internal.NullableSerializer
 328:            33            792  kotlinx.serialization.internal.SerialDescriptorForNullable
 329:            14            784  jdk.internal.module.ModuleReferenceImpl (java.base@17.0.6)
 330:            49            784  sun.security.x509.DNSName (java.base@17.0.6)
 331:            32            768  java.lang.invoke.Invokers (java.base@17.0.6)
 332:            24            768  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl (java.base@17.0.6)
 333:            12            768  javax.crypto.Cipher (java.base@17.0.6)
 334:            24            768  sun.font.EAttribute (java.desktop@17.0.6)
 335:            24            768  sun.security.x509.OIDMap$OIDInfo (java.base@17.0.6)
 336:            30            760  [Ljava.security.ProtectionDomain; (java.base@17.0.6)
 337:            18            752  [Ljava.lang.invoke.MethodType; (java.base@17.0.6)
 338:            46            736  kotlinx.coroutines.channels.ChannelResult
 339:            15            720  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@17.0.6)
 340:            45            720  sun.security.x509.GeneralNames (java.base@17.0.6)
 341:            22            704  com.jetbrains.fus.reporting.schema.VarargEventId
 342:            22            704  com.jetbrains.toolbox.datamodel.ApplicationManagerModelRemoteEntry
 343:            44            704  com.jetbrains.toolbox.feed.ApplicationType
 344:            21            688  [Ljava.io.ObjectStreamField; (java.base@17.0.6)
 345:            43            688  java.util.WeakHashMap$KeySet (java.base@17.0.6)
 346:            43            688  java.util.regex.Pattern$BranchConn (java.base@17.0.6)
 347:            43            688  kotlinx.coroutines.internal.Symbol
 348:            17            680  sun.security.ec.ECPublicKeyImpl (jdk.crypto.ec@17.0.6)
 349:            28            672  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser (java.base@17.0.6)
 350:            28            672  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@17.0.6)
 351:            42            672  sun.security.util.ECParameters (java.base@17.0.6)
 352:            41            656  java.util.regex.Pattern$BitClass (java.base@17.0.6)
 353:            27            648  java.security.Permissions (java.base@17.0.6)
 354:            16            640  java.time.format.DateTimeFormatter (java.base@17.0.6)
 355:            40            640  java.util.Collections$SingletonSet (java.base@17.0.6)
 356:            20            640  java.util.RegularEnumSet (java.base@17.0.6)
 357:             7            624  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@17.0.6)
 358:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@17.0.6)
 359:            13            624  java.lang.invoke.LambdaFormEditor$Transform (java.base@17.0.6)
 360:            26            624  java.security.spec.ECFieldF2m (java.base@17.0.6)
 361:            26            624  java.util.jar.Attributes$Name (java.base@17.0.6)
 362:             6            608  [S (java.base@17.0.6)
 363:            38            608  java.lang.constant.ReferenceClassDescImpl (java.base@17.0.6)
 364:            19            608  java.util.LinkedList (java.base@17.0.6)
 365:            19            608  sun.security.x509.CertificatePoliciesExtension (java.base@17.0.6)
 366:            15            600  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@17.0.6)
 367:            25            600  com.intellij.internal.statistic.eventLog.validator.rules.impl.RegexpValidationRule
 368:            25            600  com.jetbrains.toolbox.datamodel.ApplicationManagerModelRemoteFeedItem$supportedLanguages$2
 369:            25            600  javax.crypto.spec.SecretKeySpec (java.base@17.0.6)
 370:            15            600  kotlinx.coroutines.flow.internal.ChannelLimitedFlowMerge$collectTo$2$1
 371:            22            592  [Ljava.lang.reflect.Constructor; (java.base@17.0.6)
 372:            12            576  com.sun.crypto.provider.GaloisCounterMode$AESGCM (java.base@17.0.6)
 373:            12            576  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@17.0.6)
 374:             9            576  java.nio.DirectByteBuffer (java.base@17.0.6)
 375:            24            576  java.security.BasicPermissionCollection (java.base@17.0.6)
 376:            24            576  java.util.regex.Pattern$Ques (java.base@17.0.6)
