C:\Users\이우진\.jdks\corretto-11.0.19\bin\jcmd.exe 4336 GC.class_histogram
4336:
 num     #instances         #bytes  class name (module)
  88:            64           2560  java.lang.ref.Finalizer (java.base@11.0.19)
  89:            79           2528  java.lang.ref.ReferenceQueue (java.base@11.0.19)
  90:           105           2520  java.util.ImmutableCollections$List12 (java.base@11.0.19)
  91:            78           2496  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
  92:            78           2496  java.lang.invoke.BoundMethodHandle$Species_L (java.base@11.0.19)
  93:           154           2464  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@11.0.19)
  94:            33           2376  java.util.zip.ZipFile$Source (java.base@11.0.19)
  95:            92           2208  java.security.Provider$ServiceKey (java.base@11.0.19)
  96:            54           2160  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@11.0.19)
  97:            38           2128  java.security.Provider$Service (java.base@11.0.19)
  98:            53           2120  java.util.TreeMap$Entry (java.base@11.0.19)
  99:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@11.0.19)
 100:            33           2112  java.util.jar.JarFile (java.base@11.0.19)
 101:            33           2112  sun.nio.fs.WindowsFileAttributes (java.base@11.0.19)
 102:            52           2080  java.io.ObjectStreamField (java.base@11.0.19)
 103:            36           2016  java.io.FileCleanable (java.base@11.0.19)
 104:           118           1888  java.util.ImmutableCollections$ListN (java.base@11.0.19)
 105:            47           1880  com.fasterxml.aalto.in.PName2
 106:            57           1824  java.io.File (java.base@11.0.19)
 107:            38           1824  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@11.0.19)
 108:             3           1752  io.netty.util.internal.shaded.org.jctools.queues.atomic.MpscChunkedAtomicArrayQueue
 109:            24           1728  java.util.ResourceBundle$CacheKey (java.base@11.0.19)
 110:            42           1680  java.io.FileDescriptor (java.base@11.0.19)
 111:             8           1664  [Z (java.base@11.0.19)
 112:            31           1608  [Ljava.lang.reflect.Field; (java.base@11.0.19)
 113:            33           1584  jdk.internal.loader.URLClassPath$JarLoader (java.base@11.0.19)
 114:            48           1536  java.util.ResourceBundle$KeyElementReference (java.base@11.0.19)
 115:            38           1520  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@11.0.19)
 116:            62           1488  java.lang.module.ResolvedModule (java.base@11.0.19)
 117:            62           1488  jdk.internal.module.SystemModuleFinders$2 (java.base@11.0.19)
 118:            62           1488  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@11.0.19)
 119:            23           1472  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap
 120:            61           1464  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@11.0.19)
 121:            36           1440  java.security.ProtectionDomain (java.base@11.0.19)
 122:             1           1424  [[B (java.base@11.0.19)
 123:            59           1416  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@11.0.19)
 124:            59           1416  java.lang.module.ModuleDescriptor$Provides (java.base@11.0.19)
 125:            22           1408  java.lang.invoke.BoundMethodHandle$Species_LLLLLLIIL (java.base@11.0.19)
 126:            85           1360  java.util.concurrent.atomic.AtomicReferenceArray (java.base@11.0.19)
 127:            21           1344  java.nio.DirectByteBuffer (java.base@11.0.19)
 128:            33           1320  java.security.CodeSource (java.base@11.0.19)
 129:            55           1320  java.util.Collections$SetFromMap (java.base@11.0.19)
 130:            55           1320  java.util.Collections$UnmodifiableRandomAccessList (java.base@11.0.19)
 131:            81           1296  java.lang.ref.ReferenceQueue$Lock (java.base@11.0.19)
 132:            32           1280  com.intellij.util.containers.SLRUMap
 133:            22           1232  com.intellij.util.io.PagedFileStorage
 134:            30           1200  java.util.WeakHashMap$Entry (java.base@11.0.19)
 135:            15           1200  sun.net.www.protocol.jar.URLJarFile (java.base@11.0.19)
 136:            74           1184  java.util.concurrent.atomic.AtomicInteger (java.base@11.0.19)
 137:            24           1152  com.fasterxml.aalto.in.PName3
 138:            36           1152  com.intellij.util.containers.IntKeyWeakValueHashMap$MyReference
 139:             2           1152  io.netty.util.internal.shaded.org.jctools.queues.atomic.MpscUnboundedAtomicArrayQueue
 140:            24           1152  java.util.ResourceBundle$BundleReference (java.base@11.0.19)
 141:            45           1080  java.security.Provider$UString (java.base@11.0.19)
 142:            45           1080  java.util.ArrayDeque (java.base@11.0.19)
 143:            33           1056  java.io.RandomAccessFile (java.base@11.0.19)
 144:            33           1056  java.util.zip.ZipFile$CleanableResource (java.base@11.0.19)
 145:             1           1040  [Lcom.fasterxml.aalto.in.ByteBasedPName;
 146:             1           1040  [Ljava.lang.Byte; (java.base@11.0.19)
 147:             1           1040  [Ljava.lang.Long; (java.base@11.0.19)
 148:            26           1040  com.fasterxml.aalto.in.PNameN
 149:            26           1040  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@11.0.19)
 150:            10           1040  java.util.jar.JarFile$JarFileEntry (java.base@11.0.19)
 151:            43           1032  java.util.jar.Attributes$Name (java.base@11.0.19)
 152:             7           1008  [Ljava.lang.invoke.MemberName; (java.base@11.0.19)
 153:            63           1008  com.intellij.openapi.diagnostic.JulLogger
 154:            31            992  io.netty.channel.ChannelOption
 155:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@11.0.19)
 156:             8            960  com.intellij.util.io.PersistentMapImpl
 157:            30            960  java.security.Provider$EngineDescription (java.base@11.0.19)
 158:            60            960  jdk.internal.module.SystemModuleFinders$3 (java.base@11.0.19)
 159:             9            936  com.intellij.util.io.PersistentBTreeEnumerator
 160:            23            920  java.io.FilePermission (java.base@11.0.19)
 161:            19            912  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@11.0.19)
 162:            28            896  java.security.Permissions (java.base@11.0.19)
 163:            21            840  java.lang.invoke.DirectMethodHandle$Special (java.base@11.0.19)
 164:            34            816  org.slf4j.impl.JDK14LoggerAdapter
 165:             9            792  com.intellij.util.io.IntToIntBtree
 166:            33            792  io.netty.util.internal.logging.LocationAwareSlf4JLogger
 167:            33            792  java.util.zip.ZipFile$Source$Key (java.base@11.0.19)
 168:            49            784  java.util.WeakHashMap$KeySet (java.base@11.0.19)
 169:            32            768  io.netty.buffer.LongPriorityQueue
 170:            24            768  org.jetbrains.jps.model.impl.JpsElementCollectionImpl
 171:            23            736  com.intellij.util.lang.JavaVersion
 172:            18            720  com.fasterxml.aalto.in.PName1
 173:            18            720  com.intellij.util.io.ResizeableMappedFile
 174:            18            720  java.lang.invoke.VarHandleObjects$FieldInstanceReadWrite (java.base@11.0.19)
 175:            18            720  java.security.AccessControlContext (java.base@11.0.19)
 176:            29            696  com.intellij.openapi.util.Key
 177:            27            648  com.intellij.util.SmartList
 178:            27            648  java.lang.ThreadLocal$SuppliedThreadLocal (java.base@11.0.19)
 179:             8            640  com.intellij.util.io.PersistentHashMapValueStorage
 180:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@11.0.19)
 181:             9            608  [S (java.base@11.0.19)
 182:             5            600  [Ljava.lang.ClassValue$Entry; (java.base@11.0.19)
 183:            15            600  jdk.internal.ref.Cleaner (java.base@11.0.19)
 184:            37            592  java.util.HashMap$EntrySet (java.base@11.0.19)
 185:            37            592  java.util.concurrent.atomic.AtomicBoolean (java.base@11.0.19)
 186:            36            576  [Ljava.security.Principal; (java.base@11.0.19)
 187:             8            576  com.intellij.util.io.PersistentHashMapValueStorage$MyCompressedAppendableFile
 188:            24            576  java.lang.invoke.Invokers (java.base@11.0.19)
 189:            36            576  java.security.ProtectionDomain$Key (java.base@11.0.19)
 190:             7            560  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLIILL (java.base@11.0.19)
 191:             7            560  java.util.concurrent.TimeUnit (java.base@11.0.19)
 192:            23            552  java.io.FilePermissionCollection (java.base@11.0.19)
 193:            23            552  org.jetbrains.jps.model.ex.JpsElementContainerImpl
 194:            23            552  org.jetbrains.jps.model.java.LanguageLevel
 195:            22            528  com.intellij.util.io.PagedFileStorageCache
 196:            22            528  sun.reflect.annotation.AnnotationInvocationHandler (java.base@11.0.19)
 197:            17            520  [Ljava.io.ObjectStreamField; (java.base@11.0.19)
 198:             8            512  com.intellij.util.io.PersistentMapBuilder
 199:            16            512  io.netty.handler.codec.CodecOutputList
 200:             7            504  it.unimi.dsi.fastutil.objects.Object2ObjectOpenCustomHashMap
 201:            21            504  java.util.concurrent.atomic.AtomicLong (java.base@11.0.19)
 202:             7            496  [Lsun.invoke.util.Wrapper; (java.base@11.0.19)
 203:            20            480  com.fasterxml.aalto.in.ByteBasedPNameTable$Bucket
 204:            15            480  java.util.zip.ZipFile$CleanableResource$FinalizableResource (java.base@11.0.19)
 205:            10            480  sun.invoke.util.Wrapper (java.base@11.0.19)
 206:            19            456  java.util.concurrent.locks.ReentrantReadWriteLock (java.base@11.0.19)
 207:            14            448  java.nio.DirectByteBuffer$Deallocator (java.base@11.0.19)
 208:            28            448  java.util.Collections$UnmodifiableSet (java.base@11.0.19)
 209:            11            440  com.intellij.util.containers.hash.LongLinkedHashMap$Entry
 210:            11            440  com.intellij.util.io.DirectBufferWrapper
 211:             5            440  java.util.regex.Pattern (java.base@11.0.19)
 212:             1            432  [[[C (java.base@11.0.19)
 213:            18            432  java.lang.RuntimePermission (java.base@11.0.19)
 214:             9            432  org.jetbrains.jps.incremental.storage.BuildTargetTypeState
 215:            26            416  java.security.SecureClassLoader$CodeSourceKey (java.base@11.0.19)
 216:            13            416  sun.security.jca.ProviderConfig (java.base@11.0.19)
 217:            17            408  net.jpountz.lz4.LZ4HCJavaUnsafeCompressor
 218:            17            408  sun.nio.ch.OptionKey (java.base@11.0.19)
