C:\Users\이우진\.jdks\corretto-11.0.19\bin\jcmd.exe 33000 GC.class_histogram -all
33000:
 num     #instances         #bytes  class name (module)
  87:             7            560  java.util.concurrent.TimeUnit (java.base@11.0.19)
  88:            11            552  [Ljava.lang.reflect.Method; (java.base@11.0.19)
  89:            13            520  java.security.AccessControlContext (java.base@11.0.19)
  90:             7            496  [Lsun.invoke.util.Wrapper; (java.base@11.0.19)
  91:            15            480  java.util.ArrayList$Itr (java.base@11.0.19)
  92:            10            480  sun.invoke.util.Wrapper (java.base@11.0.19)
  93:             8            448  java.util.concurrent.ConcurrentHashMap$ValueIterator (java.base@11.0.19)
  94:             1            432  [[[C (java.base@11.0.19)
  95:            27            432  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@11.0.19)
  96:             4            416  java.lang.invoke.InnerClassLambdaMetafactory (java.base@11.0.19)
  97:            13            416  sun.util.resources.Bundles$CacheKey (java.base@11.0.19)
  98:            17            408  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@11.0.19)
  99:            10            400  java.lang.OutOfMemoryError (java.base@11.0.19)
 100:            12            384  java.lang.invoke.BoundMethodHandle$Species_L (java.base@11.0.19)
 101:             6            384  java.nio.DirectByteBuffer (java.base@11.0.19)
 102:             1            376  com.intellij.rt.execution.application.AppMainV2$1
 103:             1            376  java.lang.ref.Finalizer$FinalizerThread (java.base@11.0.19)
 104:             1            376  jdk.internal.misc.InnocuousThread (java.base@11.0.19)
 105:             1            368  java.lang.ref.Reference$ReferenceHandler (java.base@11.0.19)
 106:            11            352  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@11.0.19)
 107:            12            344  [Ljava.io.ObjectStreamField; (java.base@11.0.19)
 108:             5            336  [S (java.base@11.0.19)
 109:            21            336  java.lang.ref.ReferenceQueue$Lock (java.base@11.0.19)
 110:             6            336  java.nio.DirectLongBufferU (java.base@11.0.19)
 111:             7            336  java.nio.HeapByteBuffer (java.base@11.0.19)
 112:             6            336  sun.util.calendar.ZoneInfo (java.base@11.0.19)
 113:             8            320  java.io.FileDescriptor (java.base@11.0.19)
 114:             8            320  sun.util.locale.LanguageTag (java.base@11.0.19)
 115:            13            312  java.lang.invoke.MethodHandles$Lookup (java.base@11.0.19)
 116:            19            304  java.util.ImmutableCollections$ListN (java.base@11.0.19)
 117:            12            288  java.net.StandardSocketOptions$StdSocketOption (java.base@11.0.19)
 118:             9            288  jdk.internal.org.objectweb.asm.Type (java.base@11.0.19)
 119:             1            280  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@11.0.19)
 120:             3            280  [[Ljava.lang.String; (java.base@11.0.19)
 121:             7            280  java.security.CodeSource (java.base@11.0.19)
 122:             7            280  java.security.ProtectionDomain (java.base@11.0.19)
 123:             5            280  java.util.Properties (java.base@11.0.19)
 124:             6            272  [Ljava.lang.invoke.MethodType; (java.base@11.0.19)
 125:            11            264  java.io.ExpiringCache$Entry (java.base@11.0.19)
 126:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@11.0.19)
 127:             4            256  jdk.internal.org.objectweb.asm.FieldWriter (java.base@11.0.19)
 128:             3            240  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@11.0.19)
 129:             3            240  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.19)
 130:            10            240  java.nio.charset.CoderResult (java.base@11.0.19)
 131:            10            240  java.nio.file.StandardOpenOption (java.base@11.0.19)
 132:             5            240  sun.util.resources.Bundles$BundleReference (java.base@11.0.19)
 133:             5            224  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@11.0.19)
 134:             4            224  java.io.FileCleanable (java.base@11.0.19)
 135:             7            224  java.util.Hashtable$Entry (java.base@11.0.19)
 136:             4            224  java.util.LinkedHashMap (java.base@11.0.19)
 137:             4            224  java.util.concurrent.ConcurrentHashMap$EntryIterator (java.base@11.0.19)
 138:             4            224  jdk.internal.org.objectweb.asm.AnnotationWriter (java.base@11.0.19)
 139:             3            216  sun.nio.cs.DoubleByte$Encoder (java.base@11.0.19)
 140:             5            200  java.lang.ClassLoader$NativeLibrary (java.base@11.0.19)
 141:             5            200  java.lang.invoke.VarHandleObjects$FieldInstanceReadWrite (java.base@11.0.19)
 142:             5            200  java.util.EnumMap (java.base@11.0.19)
 143:             5            200  java.util.WeakHashMap$Entry (java.base@11.0.19)
 144:             5            200  java.util.stream.StreamOpFlag (java.base@11.0.19)
 145:             5            200  sun.util.locale.InternalLocaleBuilder (java.base@11.0.19)
 146:             5            200  sun.util.locale.StringTokenIterator (java.base@11.0.19)
 147:             4            192  [Ljava.util.Hashtable$Entry; (java.base@11.0.19)
 148:             6            192  java.io.File (java.base@11.0.19)
 149:             6            192  java.lang.invoke.LambdaForm$BasicType (java.base@11.0.19)
 150:             4            192  java.util.Hashtable (java.base@11.0.19)
 151:             6            192  java.util.concurrent.ConcurrentHashMap$ForwardingNode (java.base@11.0.19)
 152:             3            192  sun.nio.cs.DoubleByte$Decoder (java.base@11.0.19)
 153:             4            192  sun.nio.cs.StreamEncoder (java.base@11.0.19)
 154:             2            192  sun.util.calendar.Gregorian$Date (java.base@11.0.19)
 155:             3            168  java.nio.DirectIntBufferRU (java.base@11.0.19)
 156:             4            160  java.io.BufferedWriter (java.base@11.0.19)
 157:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@11.0.19)
 158:             5            160  java.util.RegularEnumSet (java.base@11.0.19)
 159:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@11.0.19)
 160:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@11.0.19)
 161:             3            144  java.lang.ThreadGroup (java.base@11.0.19)
 162:             3            144  java.util.WeakHashMap (java.base@11.0.19)
 163:             6            144  jdk.internal.perf.PerfCounter (java.base@11.0.19)
 164:             3            144  sun.util.locale.provider.LocaleResources$ResourceReference (java.base@11.0.19)
 165:             2            128  java.io.ExpiringCache$1 (java.base@11.0.19)
 166:             4            128  sun.util.locale.provider.LocaleResources (java.base@11.0.19)
 167:             3            120  [Ljava.lang.invoke.LambdaForm$BasicType; (java.base@11.0.19)
 168:             5            120  java.lang.module.ModuleDescriptor$Opens (java.base@11.0.19)
 169:             3            120  java.util.HashMap$KeyIterator (java.base@11.0.19)
 170:             5            120  java.util.stream.StreamOpFlag$Type (java.base@11.0.19)
 171:             1            120  jdk.internal.loader.ClassLoaders$AppClassLoader (java.base@11.0.19)
 172:             5            120  sun.nio.fs.WindowsPathType (java.base@11.0.19)
 173:             5            120  sun.util.locale.ParseStatus (java.base@11.0.19)
 174:             2            112  [Ljava.nio.file.StandardOpenOption; (java.base@11.0.19)
 175:             7            112  [Ljava.security.Principal; (java.base@11.0.19)
 176:             7            112  java.lang.Byte (java.base@11.0.19)
 177:             7            112  java.lang.ThreadLocal (java.base@11.0.19)
 178:             7            112  java.security.ProtectionDomain$Key (java.base@11.0.19)
 179:             2            112  java.util.ServiceLoader (java.base@11.0.19)
 180:             1            112  jdk.internal.loader.ClassLoaders$BootClassLoader (java.base@11.0.19)
 181:             1            112  jdk.internal.loader.ClassLoaders$PlatformClassLoader (java.base@11.0.19)
 182:             1            104  java.net.SocksSocketImpl (java.base@11.0.19)
 183:             1            104  java.util.jar.JarFile$JarFileEntry (java.base@11.0.19)
 184:             3             96  [Ljava.lang.Thread; (java.base@11.0.19)
 185:             4             96  java.io.OutputStreamWriter (java.base@11.0.19)
 186:             3             96  java.lang.Runtime$Version (java.base@11.0.19)
 187:             3             96  java.lang.StringCoding$StringEncoder (java.base@11.0.19)
 188:             2             96  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@11.0.19)
 189:             4             96  java.lang.invoke.ConstantCallSite (java.base@11.0.19)
 190:             4             96  java.lang.invoke.InfoFromMemberName (java.base@11.0.19)
 191:             4             96  java.lang.invoke.InnerClassLambdaMetafactory$ForwardingMethodGenerator (java.base@11.0.19)
 192:             3             96  java.lang.invoke.SimpleMethodHandle (java.base@11.0.19)
 193:             4             96  java.lang.invoke.VarForm (java.base@11.0.19)
 194:             4             96  java.lang.module.ModuleDescriptor$Modifier (java.base@11.0.19)
 195:             4             96  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@11.0.19)
 196:             3             96  java.lang.ref.WeakReference (java.base@11.0.19)
 197:             3             96  java.security.Permissions (java.base@11.0.19)
 198:             4             96  java.util.Collections$SetFromMap (java.base@11.0.19)
 199:             4             96  java.util.Collections$SynchronizedSet (java.base@11.0.19)
 200:             3             96  java.util.Collections$UnmodifiableMap (java.base@11.0.19)
 201:             3             96  java.util.ImmutableCollections$ListItr (java.base@11.0.19)
 202:             3             96  java.util.ImmutableCollections$MapN (java.base@11.0.19)
 203:             3             96  java.util.ServiceLoader$ProviderImpl (java.base@11.0.19)
 204:             2             96  java.util.StringTokenizer (java.base@11.0.19)
 205:             3             96  java.util.Vector (java.base@11.0.19)
 206:             3             96  java.util.concurrent.ConcurrentHashMap$ReservationNode (java.base@11.0.19)
 207:             4             96  java.util.stream.StreamShape (java.base@11.0.19)
 208:             1             96  jdk.internal.jimage.ImageReader$SharedImageReader (java.base@11.0.19)
 209:             4             96  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@11.0.19)
 210:             3             96  sun.net.spi.DefaultProxySelector$NonProxyInfo (java.base@11.0.19)
 211:             2             96  sun.nio.cs.ISO_8859_1$Encoder (java.base@11.0.19)
 212:             2             96  sun.nio.cs.UTF_8$Encoder (java.base@11.0.19)
 213:             3             96  sun.nio.fs.NativeBuffer (java.base@11.0.19)
 214:             3             96  sun.security.util.LazyCodeSourcePermissionCollection (java.base@11.0.19)
